context;statement;persona;Definitely true;Definitely false;Neither true nor false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 70-year-old Black male with a high school education.;116;0;4
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 70-year-old Black male with a college education.;109;4;7
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 70-year-old Black male with a graduate school education.;110;0;10
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 70-year-old Black female with a high school education.;112;0;8
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 70-year-old Black female with a college education.;108;1;11
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 70-year-old Black female with a graduate school education.;108;1;11
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 70-year-old Asian male with a high school education.;116;0;4
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 70-year-old Asian male with a college education.;116;0;4
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 70-year-old Asian male with a graduate school education.;113;0;7
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 70-year-old Asian female with a high school education.;115;0;5
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 70-year-old Asian female with a college education.;114;0;6
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 70-year-old Asian female with a graduate school education.;110;0;10
