context;statement;persona;Definitely true;Definitely false;Neither true nor false
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 70-year-old White male with a high school education.;120;0;0
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 70-year-old White male with a college education.;120;0;0
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 70-year-old White male with a graduate school education.;120;0;0
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 70-year-old White female with a high school education.;111;1;8
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 70-year-old White female with a college education.;110;3;7
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 70-year-old White female with a graduate school education.;108;5;7
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 70-year-old Black male with a high school education.;120;0;0
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 70-year-old Black male with a college education.;120;0;0
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 70-year-old Black male with a graduate school education.;120;0;0
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 70-year-old Black female with a high school education.;108;8;4
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 70-year-old Black female with a college education.;102;10;8
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 70-year-old Black female with a graduate school education.;100;9;11
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 70-year-old Asian male with a high school education.;120;0;0
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 70-year-old Asian male with a college education.;120;0;0
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 70-year-old Asian male with a graduate school education.;120;0;0
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 70-year-old Asian female with a high school education.;106;5;9
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 70-year-old Asian female with a college education.;108;3;9
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 70-year-old Asian female with a graduate school education.;110;5;5
