context;statement;persona;Definitely true;Definitely false;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 70-year-old White male with a high school education.;59;46;15
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 70-year-old White male with a college education.;54;45;21
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 70-year-old White male with a graduate school education.;56;43;21
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 70-year-old White female with a high school education.;48;51;21
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 70-year-old White female with a college education.;37;62;21
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 70-year-old White female with a graduate school education.;30;67;23
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 70-year-old Black male with a high school education.;72;35;13
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 70-year-old Black male with a college education.;50;48;22
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 70-year-old Black male with a graduate school education.;65;37;18
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 70-year-old Black female with a high school education.;54;51;15
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 70-year-old Black female with a college education.;37;64;19
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 70-year-old Black female with a graduate school education.;42;57;21
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 70-year-old Asian male with a high school education.;80;27;13
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 70-year-old Asian male with a college education.;77;19;24
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 70-year-old Asian male with a graduate school education.;74;31;15
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 70-year-old Asian female with a high school education.;61;37;22
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 70-year-old Asian female with a college education.;60;39;21
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 70-year-old Asian female with a graduate school education.;49;49;22
