context;statement;persona;Definitely true;Definitely false;Neither true nor false
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 50-year-old Black female with a graduate school education.;27;76;17
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 50-year-old Asian male with a high school education.;20;86;14
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 50-year-old Asian male with a college education.;22;91;7
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 50-year-old Asian male with a graduate school education.;34;71;15
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 50-year-old Asian female with a high school education.;19;82;19
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 50-year-old Asian female with a college education.;16;92;12
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 50-year-old Asian female with a graduate school education.;30;73;17
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 70-year-old White male with a high school education.;18;86;16
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 70-year-old White male with a college education.;11;99;10
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 70-year-old White male with a graduate school education.;18;87;15
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 70-year-old White female with a high school education.;14;88;18
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 70-year-old White female with a college education.;10;99;11
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 70-year-old White female with a graduate school education.;21;79;20
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 70-year-old Black male with a high school education.;18;85;17
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 70-year-old Black male with a college education.;24;84;12
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 70-year-old Black male with a graduate school education.;18;85;17
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 70-year-old Black female with a high school education.;19;81;20
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 70-year-old Black female with a college education.;29;80;11
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 70-year-old Black female with a graduate school education.;25;78;17
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 70-year-old Asian male with a high school education.;18;84;18
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 70-year-old Asian male with a college education.;17;87;16
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 70-year-old Asian male with a graduate school education.;22;82;16
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 70-year-old Asian female with a high school education.;11;95;14
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 70-year-old Asian female with a college education.;16;86;18
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 70-year-old Asian female with a graduate school education.;34;63;23
