context;statement;option_1;option_2;option_3
A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false
A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false
A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false
A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false
A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false
A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false
A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false
A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false
A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false
A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false
A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false
A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false
A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false
A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false
A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false
A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false
A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false
A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false
A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false
A street scene of people on scooters.;The scooters are electric.;Definitely false;Neither true nor false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Definitely false;Neither true nor false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Definitely false;Neither true nor false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Definitely false;Neither true nor false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Definitely false;Neither true nor false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Definitely false;Neither true nor false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Definitely false;Neither true nor false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Definitely false;Neither true nor false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Definitely false;Neither true nor false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Definitely false;Neither true nor false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Definitely false;Neither true nor false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Definitely false;Neither true nor false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Definitely false;Neither true nor false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Definitely false;Neither true nor false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Definitely false;Neither true nor false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Definitely false;Neither true nor false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Definitely false;Neither true nor false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Definitely false;Neither true nor false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Definitely false;Neither true nor false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Definitely false;Neither true nor false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely true;Definitely false
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely true;Definitely false
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely true;Definitely false
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely true;Definitely false
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely true;Definitely false
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely true;Definitely false
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely true;Definitely false
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely true;Definitely false
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely true;Definitely false
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely true;Definitely false
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely true;Definitely false
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely true;Definitely false
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely true;Definitely false
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely true;Definitely false
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely true;Definitely false
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely true;Definitely false
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely true;Definitely false
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely true;Definitely false
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely true;Definitely false
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely true;Definitely false
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely false;Definitely true
A street scene of people on scooters.;The scooters are electric.;Neither true nor false;Definitely false;Definitely true
